annotation_id,target_kind,target_id,category,valid_from,valid_to,description,related_refs
jan8_counter_reset,campus,GTN,data_quality,2025-01-08,2025-01-09,Campus-wide counter reset across all 43 värme meters. Counters dropped to near-zero then resumed normal operation. NOT device swaps — systematic event. All meters affected simultaneously.,
B658_offline,meter,B658.VP1_VMM61,outage,2026-02-02,2026-02-02,Counter reset to 0 and stayed dead. Leaf meter — no children to patch from. Excel shows Feb=0 MWh.,
B833_61_offline,meter,B833.VP1_VMM61,outage,2026-02-19,2026-02-19,Counter frozen from Feb 19. Patched from VMM62 + B834 (VÅ9_41 excluded; not in Excel B833 formula). Feb topology = 158 MWh; Excel cache = 135 MWh (Excel reads frozen counter and misses 23 MWh of post-Feb-19 consumption). Ontology is more accurate than Excel here.,B833.VP1_VMM61:d.patch
B833_62_offline,meter,B833.VP1_VMM62,outage,2026-02-19,2026-02-19,Counter frozen from Feb 19. Leaf meter on same building as VMM61. Both B833 meters went offline same day — likely building-level BMS issue.,
B612_61_flat,meter,B612.VP2_VMM61,data_quality,,,PDF root for VP2 circuit but reported zero delta for 35 of 424 days. Not used in any Excel formula. Meter may be decommissioned or intermittent. Data unreliable for conservation validation.,
B615_B642_independent,building,B614,data_quality,,,B615 and B642 are independent subtractions in Excel B614 formula (not in series as PDF suggests). Topology aligns with Excel: B614→B615 and B614→B642 as separate hasSubMeter edges. PDF arrow B615→B642 not used — would overcount.,
B616_siblings,building,B616,data_quality,,,B616 VP1_VMM61 / VP1_VMM62 / VS2_VMM61 / VÅ9_VMM41 are parallel + terms in Excel. Topology treats them as independent roots (not chained). Only B661 is a hasSubMeter child of VP1_VMM62 per Excel.,
B661_role_merge,meter,B661.VP1_VMM61,data_quality,,,PDF labels this meter VS1 (secondary); Excel/Snowflake label it VP1 (primary). Same physical meter — merged to canonical VP1.,
B821_role_merge,meter,B821.VP1_VMM61,data_quality,,,PDF labels this meter VS1 (secondary); Excel/Snowflake label it VP1 (primary). Same physical meter — merged to canonical VP1.,
B674_VÅ9_upstream,building,B674,data_quality,,,Heat recovery (VÅ9) meters are upstream of primary (VP) meters — arrow-confirmed in PDF. VÅ9 output enters primary circuit before VP1/VP2 meters. Unusual but physically correct.,
B643_VÅ9_to_campus,building,B643,data_quality,,,B643 VÅ9_VMM41 and VÅ9_VMM42 are not in Excel B643 formula (which uses only VP1 + VP2). Reattributed to campus level. PDF heat-recovery topology retained in B674 only where arrow-confirmed.,
B621_unmetered,meter,B621.VP1_VMM61,data_quality,,,91.5% of intake unaccounted by downstream meters. B621.VÅ9_VMM41 (PDF-only) has no Snowflake data. High residual likely due to unmetered recovery circuit.,
B621_vp1_offline_mar,meter,B621.VP1_VMM61,outage,2025-03-10,2025-03-24,"Counter offline + catch-up flushes on 2025-03-20 (+226 kWh) and 2025-03-24 (+87 kWh). Patched via interpolate between clean endpoints 2025-03-09 (65149.77) and 2025-03-25 (65485.9); ~21 kWh/day. Same window as B621.Å1_VMM70 (ANGA) — likely B621 gateway outage affecting both media.",B621.VP1_VMM61:d.patch
B643_vp1_offline_apr,meter,B643.VP1_VMM61,outage,2025-03-31,2025-04-10,"Counter offline 2025-03-31 through 2025-04-09, single catch-up flush on 2025-04-10 (+74 kWh). Patched via interpolate; ~6.5 kWh/day. B643.VÅ9_VMM42 offline same window — likely B643 gateway outage.",B643.VP1_VMM61:d.patch
B643_v9_offline_apr,meter,B643.VÅ9_VMM42,outage,2025-03-31,2025-04-10,"Counter offline 2025-03-31 through 2025-04-09, single catch-up flush on 2025-04-10 (+44 kWh). Patched via interpolate; ~4.0 kWh/day. Same window as B643.VP1_VMM61.",B643.VÅ9_VMM42:d.patch
